"","Manufacturer","Sales.in.thousands","X4.year.resale.value","Popularity","MSRP"
"2456","Mercedes-Benz",11.592,".",617,99950
"2457","Mercedes-Benz",11.592,".",617,51100
"2458","Mercedes-Benz",11.592,".",617,107100
"2459","Mercedes-Benz",11.592,".",617,52500
"2460","Mercedes-Benz",11.592,".",617,53600
"2461","Mercedes-Benz",11.592,".",617,108840
"2462","Mercedes-Benz",11.592,".",617,101690
"2463","Mercedes-Benz",11.592,".",617,65650
"2464","Mercedes-Benz",11.592,".",617,52000
"2465","Mercedes-Benz",11.592,".",617,54500
"2466","Mercedes-Benz",11.592,".",617,37090
"2467","Mercedes-Benz",11.592,".",617,39090
"2468","Mercedes-Benz",11.592,".",617,38590
"2469","Mercedes-Benz",11.592,".",617,38980
"2470","Mercedes-Benz",11.592,".",617,39480
"2471","Mercedes-Benz",11.592,".",617,37480
"2472","Mercedes-Benz",11.592,".",617,37900
"2473","Mercedes-Benz",11.592,".",617,39900
"2474","Mercedes-Benz",11.592,".",617,39400
"2475","Mercedes-Benz",11.592,".",617,124100
"2476","Mercedes-Benz",11.592,".",617,93850
"2477","Mercedes-Benz",11.592,".",617,68700
"2478","Mercedes-Benz",11.592,".",617,51270
"2479","Mercedes-Benz",11.592,".",617,96100
"2480","Mercedes-Benz",11.592,".",617,58800
"2481","Mercedes-Benz",11.592,".",617,49770
"2482","Mercedes-Benz",11.592,".",617,47270
"2483","Mercedes-Benz",11.592,".",617,97250
"2484","Mercedes-Benz",11.592,".",617,51790
"2485","Mercedes-Benz",11.592,".",617,50290
"2486","Mercedes-Benz",11.592,".",617,59450
"2487","Mercedes-Benz",11.592,".",617,47790
"2488","Mercedes-Benz",11.592,".",617,62900
"2489","Mercedes-Benz",11.592,".",617,48300
"2490","Mercedes-Benz",11.592,".",617,49800
"2491","Mercedes-Benz",11.592,".",617,98400
"2492","Mercedes-Benz",11.592,".",617,50800
"2493","Mercedes-Benz",11.592,".",617,189350
"2494","Mercedes-Benz",11.592,".",617,191300
"2495","Mercedes-Benz",11.592,".",617,32500
"2496","Mercedes-Benz",11.592,".",617,28950
"2497","Mercedes-Benz",11.592,".",617,5650
"2498","Mercedes-Benz",11.592,".",617,49300
"2499","Mercedes-Benz",11.592,".",617,50800
"2500","Mercedes-Benz",11.592,".",617,50240
"2501","Mercedes-Benz",11.592,".",617,51740
"2502","Mercedes-Benz",11.592,".",617,52690
"2503","Mercedes-Benz",11.592,".",617,53840
"2504","Mercedes-Benz",11.592,".",617,94400
"2505","Mercedes-Benz",11.592,".",617,141450
"2506","Mercedes-Benz",11.592,".",617,97400
"2507","Mercedes-Benz",11.592,".",617,160900
"2508","Mercedes-Benz",11.592,".",617,222000
"2509","Mercedes-Benz",11.592,".",617,230900
"2510","Mercedes-Benz",11.592,".",617,166900
"2511","Mercedes-Benz",11.592,".",617,119900
"2512","Mercedes-Benz",11.592,".",617,234050
"2513","Mercedes-Benz",11.592,".",617,121550
"2514","Mercedes-Benz",11.592,".",617,143250
"2515","Mercedes-Benz",11.592,".",617,95650
"2516","Mercedes-Benz",11.592,".",617,169050
"2517","Mercedes-Benz",11.592,".",617,98650
"2518","Mercedes-Benz",11.592,".",617,163150
"2519","Mercedes-Benz",11.592,".",617,224650
"2520","Mercedes-Benz",11.592,".",617,144700
"2521","Mercedes-Benz",11.592,".",617,99600
"2522","Mercedes-Benz",11.592,".",617,131400
"2523","Mercedes-Benz",11.592,".",617,170750
"2524","Mercedes-Benz",11.592,".",617,176400
"2525","Mercedes-Benz",11.592,".",617,226900
"2526","Mercedes-Benz",11.592,".",617,247900
"2527","Mercedes-Benz",11.592,".",617,96600
"2528","Mercedes-Benz",11.592,".",617,84000
"2529","Mercedes-Benz",11.592,".",617,106700
"2530","Mercedes-Benz",11.592,".",617,214500
"2531","Mercedes-Benz",11.592,".",617,147300
"2532","Mercedes-Benz",11.592,".",617,108050
"2533","Mercedes-Benz",11.592,".",617,85050
"2534","Mercedes-Benz",11.592,".",617,217550
"2535","Mercedes-Benz",11.592,".",617,149700
"2536","Mercedes-Benz",11.592,".",617,110800
"2537","Mercedes-Benz",11.592,".",617,151350
"2538","Mercedes-Benz",11.592,".",617,219850
"2539","Mercedes-Benz",11.592,".",617,86950
"2540","Mercedes-Benz",11.592,".",617,60300
"2541","Mercedes-Benz",11.592,".",617,47950
"2542","Mercedes-Benz",11.592,".",617,56225
"2543","Mercedes-Benz",11.592,".",617,68925
"2544","Mercedes-Benz",11.592,".",617,43525
"2545","Mercedes-Benz",11.592,".",617,43950
"2546","Mercedes-Benz",11.592,".",617,57650
"2547","Mercedes-Benz",11.592,".",617,70850
"2548","Mercedes-Benz",11.592,".",617,59200
"2549","Mercedes-Benz",11.592,".",617,47000
"2550","Mercedes-Benz",11.592,".",617,72600
"2551","Mercedes-Benz",11.592,".",617,480000
"2552","Mercedes-Benz",11.592,".",617,495000
"2553","Mercedes-Benz",11.592,".",617,495000
"2554","Mercedes-Benz",11.592,".",617,221580
"2555","Mercedes-Benz",11.592,".",617,228080
"2556","Mercedes-Benz",11.592,".",617,199500
"2557","Mercedes-Benz",11.592,".",617,206000
"2558","Mercedes-Benz",11.592,".",617,275000
"2559","Mercedes-Benz",11.592,".",617,201500
"2560","Mercedes-Benz",11.592,".",617,208000
"2561","Mercedes-Benz",11.592,".",617,183000
"2562","Mercedes-Benz",11.592,".",617,189600
"2563","Mercedes-Benz",11.592,".",617,196100
"2564","Mercedes-Benz",0.954,".",617,2000
"2565","Mercedes-Benz",0.954,".",617,2000
"2566","Mercedes-Benz",0.954,".",617,2000
"2567","Mercedes-Benz",0.954,".",617,2000
"2568","Mercedes-Benz",0.954,".",617,2000
"2569","Mercedes-Benz",0.954,".",617,2000
"2570","Mercedes-Benz",0.954,".",617,2232
"2571","Mercedes-Benz",0.954,".",617,2000
"2572","Mercedes-Benz",0.954,".",617,2000
"2573","Mercedes-Benz",0.954,".",617,2105
"2574","Mercedes-Benz",0.954,".",617,2199
"2575","Mercedes-Benz",0.954,".",617,2000
"2576","Mercedes-Benz",0.954,".",617,2124
"2577","Mercedes-Benz",0.954,".",617,3552
"2578","Mercedes-Benz",0.954,".",617,2179
"2579","Mercedes-Benz",0.954,".",617,2000
"2580","Mercedes-Benz",0.954,".",617,2000
"2581","Mercedes-Benz",0.954,".",617,2377
"2582","Mercedes-Benz",0.954,".",617,3814
"2583","Mercedes-Benz",0.954,".",617,2207
"2584","Mercedes-Benz",0.954,".",617,2000
"2585","Mercedes-Benz",0.954,".",617,2248
"2586","Mercedes-Benz",0.954,".",617,2065
"2587","Mercedes-Benz",0.954,".",617,2547
"2588","Mercedes-Benz",0.954,".",617,2282
"2589","Mercedes-Benz",0.954,".",617,2000
"2590","Mercedes-Benz",0.954,".",617,2544
"2591","Mercedes-Benz",0.954,".",617,2397
"2592","Mercedes-Benz",0.954,".",617,2000
"2593","Mercedes-Benz",0.954,".",617,4174
"2594","Mercedes-Benz",0.954,".",617,2187
"2595","Mercedes-Benz",0.954,".",617,2729
"2596","Mercedes-Benz",0.954,".",617,2433
"2597","Mercedes-Benz",0.954,".",617,2247
"2598","Mercedes-Benz",0.954,".",617,2540
"2599","Mercedes-Benz",0.954,".",617,2144
"2600","Mercedes-Benz",0.954,".",617,2098
"2601","Mercedes-Benz",0.954,".",617,2178
"2602","Mercedes-Benz",0.954,".",617,2311
"2603","Mercedes-Benz",0.954,".",617,2168
"2604","Mercedes-Benz",0.954,".",617,2497
"2605","Mercedes-Benz",0.954,".",617,2278
"2606","Mercedes-Benz",0.954,".",617,2650
"2607","Mercedes-Benz",0.954,".",617,2000
"2608","Mercedes-Benz",0.954,".",617,2186
"2609","Mercedes-Benz",0.954,".",617,4155
"2610","Mercedes-Benz",0.954,".",617,2427
"2611","Mercedes-Benz",0.954,".",617,3245
"2612","Mercedes-Benz",0.954,".",617,4701
"2613","Mercedes-Benz",0.954,".",617,3176
"2614","Mercedes-Benz",0.954,".",617,3613
"2615","Mercedes-Benz",0.954,".",617,5140
"2616","Mercedes-Benz",0.954,".",617,2692
"2617","Mercedes-Benz",0.954,".",617,2323
"2618","Mercedes-Benz",0.954,".",617,2170
"2619","Mercedes-Benz",0.954,".",617,2443
"2620","Mercedes-Benz",0.954,".",617,2304
"2621","Mercedes-Benz",0.954,".",617,2960
"2622","Mercedes-Benz",0.954,".",617,3108
"2623","Mercedes-Benz",0.954,".",617,4623
"2624","Mercedes-Benz",0.954,".",617,3211
"2625","Mercedes-Benz",0.954,".",617,129900
"2626","Mercedes-Benz",0.954,".",617,131200
"2627","Mercedes-Benz",0.954,".",617,111200
"2628","Mercedes-Benz",0.954,".",617,41450
"2629","Mercedes-Benz",0.954,".",617,41450
"2630","Mercedes-Benz",0.954,".",617,39900
"2631","Mercedes-Benz",0.954,".",617,40400
"2632","Mercedes-Benz",0.954,".",617,46050
"2633","Mercedes-Benz",0.954,".",617,42575
"2634","Mercedes-Benz",0.954,".",617,62950
"2635","Mercedes-Benz",0.954,".",617,38400
"2636","Mercedes-Benz",0.954,".",617,44050
"2637","Mercedes-Benz",0.954,".",617,41050
"2638","Mercedes-Benz",0.954,".",617,48590
"2639","Mercedes-Benz",0.954,".",617,39050
"2640","Mercedes-Benz",0.954,".",617,71900
"2641","Mercedes-Benz",0.954,".",617,40575
"2642","Mercedes-Benz",0.954,".",617,63900
"2643","Mercedes-Benz",0.954,".",617,39400
"2644","Mercedes-Benz",0.954,".",617,43125
"2645","Mercedes-Benz",0.954,".",617,50800
"2646","Mercedes-Benz",0.954,".",617,41125
"2647","Mercedes-Benz",0.954,".",617,41275
"2648","Mercedes-Benz",0.954,".",617,73250
"2649","Mercedes-Benz",0.954,".",617,65250
"2650","Mercedes-Benz",0.954,".",617,38950
"2651","Mercedes-Benz",0.954,".",617,39275
"2652","Mercedes-Benz",0.954,".",617,40950
"2653","Mercedes-Benz",0.954,".",617,39850
"2654","Mercedes-Benz",0.954,".",617,39500
"2655","Mercedes-Benz",0.954,".",617,52000
"2656","Mercedes-Benz",0.954,".",617,72800
"2657","Mercedes-Benz",0.954,".",617,67000
"2658","Mercedes-Benz",0.954,".",617,41675
"2659","Mercedes-Benz",0.954,".",617,44650
"2660","Mercedes-Benz",0.954,".",617,42650
"2661","Mercedes-Benz",0.954,".",617,43675
"2662","Mercedes-Benz",0.954,".",617,65200
"2663","Mercedes-Benz",0.954,".",617,41500
"2664","Mercedes-Benz",0.954,".",617,41850
"2665","Mercedes-Benz",0.954,".",617,75000
"2666","Mercedes-Benz",0.954,".",617,52900
"2667","Mercedes-Benz",0.954,".",617,50900
"2668","Mercedes-Benz",0.954,".",617,3555
"2669","Mercedes-Benz",0.954,".",617,3996
"2670","Mercedes-Benz",0.954,".",617,4330
"2671","Mercedes-Benz",0.954,".",617,4472
"2672","Mercedes-Benz",0.954,".",617,4661
"2673","Mercedes-Benz",0.954,".",617,5739
"2674","Mercedes-Benz",0.954,".",617,211000
"2675","Mercedes-Benz",0.954,".",617,158700
"2676","Mercedes-Benz",0.954,".",617,114100
"2677","Mercedes-Benz",0.954,".",617,151500
"2678","Mercedes-Benz",0.954,".",617,213200
"2679","Mercedes-Benz",0.954,".",617,153000
"2680","Mercedes-Benz",0.954,".",617,115300
"2681","Mercedes-Benz",0.954,".",617,160300
"2682","Mercedes-Benz",0.954,".",617,215500
"2683","Mercedes-Benz",0.954,".",617,116600
"2684","Mercedes-Benz",0.954,".",617,162000
"2685","Mercedes-Benz",0.954,".",617,154600
"2686","Mercedes-Benz",0.954,".",617,31500
"2687","Mercedes-Benz",0.954,".",617,33500
"2688","Mercedes-Benz",0.954,".",617,48500
"2689","Mercedes-Benz",0.954,".",617,32050
"2690","Mercedes-Benz",0.954,".",617,49500
"2691","Mercedes-Benz",0.954,".",617,34050
"2692","Mercedes-Benz",0.954,".",617,32400
"2693","Mercedes-Benz",0.954,".",617,34400
"2694","Mercedes-Benz",0.954,".",617,49950
"2695","Mercedes-Benz",0.954,".",617,54200
"2696","Mercedes-Benz",0.954,".",617,89200
"2697","Mercedes-Benz",0.954,".",617,46200
"2698","Mercedes-Benz",0.954,".",617,62900
"2699","Mercedes-Benz",0.954,".",617,54900
"2700","Mercedes-Benz",0.954,".",617,46450
"2701","Mercedes-Benz",0.954,".",617,55150
"2702","Mercedes-Benz",0.954,".",617,135000
"2703","Mercedes-Benz",0.954,".",617,63200
"2704","Mercedes-Benz",0.954,".",617,89500
"2705","Mercedes-Benz",0.954,".",617,54500
"2706","Mercedes-Benz",0.954,".",617,56100
"2707","Mercedes-Benz",0.954,".",617,64800
"2708","Mercedes-Benz",0.954,".",617,56800
"2709","Mercedes-Benz",0.954,".",617,48100
"2710","Mercedes-Benz",0.954,".",617,73200
"2711","Mercedes-Benz",0.954,".",617,106550
"2712","Mercedes-Benz",0.954,".",617,65990
"2713","Mercedes-Benz",0.954,".",617,68490
"2714","Mercedes-Benz",0.954,".",617,75700
"2715","Mercedes-Benz",0.954,".",617,66900
"2716","Mercedes-Benz",0.954,".",617,69400
"2717","Mercedes-Benz",0.954,".",617,107800
"2718","Mercedes-Benz",0.954,".",617,76600
"2719","Mercedes-Benz",0.954,".",617,74100
"2720","Mercedes-Benz",0.954,".",617,74850
"2721","Mercedes-Benz",0.954,".",617,77350
"2722","Mercedes-Benz",0.954,".",617,108900
"2723","Mercedes-Benz",0.954,".",617,55850
"2724","Mercedes-Benz",0.954,".",617,93600
"2725","Mercedes-Benz",0.954,".",617,53350
"2726","Mercedes-Benz",0.954,".",617,57100
"2727","Mercedes-Benz",0.954,".",617,54800
"2728","Mercedes-Benz",0.954,".",617,59000
"2729","Mercedes-Benz",0.954,".",617,54300
"2730","Mercedes-Benz",0.954,".",617,67750
"2731","Mercedes-Benz",0.954,".",617,52300
"2732","Mercedes-Benz",0.954,".",617,100600
"2733","Mercedes-Benz",0.954,".",617,103200
"2734","Mercedes-Benz",0.954,".",617,52300
"2735","Mercedes-Benz",0.954,".",617,64850
"2736","Mercedes-Benz",0.954,".",617,54300
"2737","Mercedes-Benz",0.954,".",617,59400
"2738","Mercedes-Benz",0.954,".",617,61350
"2739","Mercedes-Benz",0.954,".",617,51800
"2740","Mercedes-Benz",0.954,".",617,59000
"2741","Mercedes-Benz",0.954,".",617,54800
"2742","Mercedes-Benz",0.954,".",617,51800
"2743","Mercedes-Benz",0.954,".",617,62350
"2744","Mercedes-Benz",0.954,".",617,63100
"2745","Mercedes-Benz",0.954,".",617,59900
"2746","Mercedes-Benz",0.954,".",617,59900
"2747","Mercedes-Benz",0.954,".",617,55150
"2748","Mercedes-Benz",0.954,".",617,53100
"2749","Mercedes-Benz",0.954,".",617,65600
"2750","Mercedes-Benz",0.954,".",617,101700
"2751","Mercedes-Benz",0.954,".",617,53100
"2752","Mercedes-Benz",0.954,".",617,55600
"2753","Mercedes-Benz",0.954,".",617,54200
"2754","Mercedes-Benz",0.954,".",617,60300
"2755","Mercedes-Benz",0.954,".",617,62250
"2756","Mercedes-Benz",0.954,".",617,55150
"2757","Mercedes-Benz",0.954,".",617,55600
"2758","Mercedes-Benz",0.954,".",617,68700
"2759","Mercedes-Benz",0.954,".",617,104300
"2760","Mercedes-Benz",0.954,".",617,52650
"2761","Mercedes-Benz",0.954,".",617,52650
"2762","Mercedes-Benz",0.954,".",617,56700
"2763","Mercedes-Benz",0.954,".",617,62600
"2764","Mercedes-Benz",0.954,".",617,54650
"2765","Mercedes-Benz",0.954,".",617,54650
"2766","Mercedes-Benz",0.954,".",617,57050
"2767","Mercedes-Benz",0.954,".",617,52150
"2768","Mercedes-Benz",0.954,".",617,52150
"2769","Mercedes-Benz",0.954,".",617,54550
"2770","Mercedes-Benz",0.954,".",617,60650
"2771","Mercedes-Benz",0.954,".",617,69100
"2772","Mercedes-Benz",0.954,".",617,5878
"2773","Mercedes-Benz",0.954,".",617,6120
"2774","Mercedes-Benz",0.954,".",617,115400
"2775","Mercedes-Benz",0.954,".",617,137100
"2776","Mercedes-Benz",0.954,".",617,119900
"2777","Mercedes-Benz",0.954,".",617,139900
"2778","Mercedes-Benz",0.954,".",617,217900
"2779","Mercedes-Benz",0.954,".",617,63000
"2780","Mercedes-Benz",0.954,".",617,64550
"2781","Mercedes-Benz",0.954,".",617,88600
"2782","Mercedes-Benz",0.954,".",617,118160
"2783","Mercedes-Benz",0.954,".",617,119450
"2784","Mercedes-Benz",0.954,".",617,89950
"2785","Mercedes-Benz",0.954,".",617,65200
"2786","Mercedes-Benz",0.954,".",617,63600
"2787","Mercedes-Benz",0.954,".",617,89950
"2788","Mercedes-Benz",0.954,".",617,63600
"2789","Mercedes-Benz",0.954,".",617,65200
"2790","Mercedes-Benz",0.954,".",617,119450
"2791","Mercedes-Benz",0.954,".",617,31300
"2792","Mercedes-Benz",0.954,".",617,33300
"2793","Mercedes-Benz",0.954,".",617,48300
"2794","Mercedes-Benz",0.954,".",617,49580
"2795","Mercedes-Benz",0.954,".",617,32500
"2796","Mercedes-Benz",0.954,".",617,34500
"2797","Mercedes-Benz",0.954,".",617,49900
"2798","Mercedes-Benz",0.954,".",617,32850
"2799","Mercedes-Benz",0.954,".",617,34850
"2800","Mercedes-Benz",0.954,".",617,38950
"2801","Mercedes-Benz",0.954,".",617,40950
"2802","Mercedes-Benz",0.954,".",617,39150
"2803","Mercedes-Benz",0.954,".",617,41150
"2804","Mercedes-Benz",0.954,".",617,65100
"2805","Mercedes-Benz",0.954,".",617,109300
"2806","Mercedes-Benz",0.954,".",617,69650
"2807","Mercedes-Benz",0.954,".",617,110650
"2808","Mercedes-Benz",0.954,".",617,64600
"2809","Mercedes-Benz",0.954,".",617,99950
"2810","Mercedes-Benz",0.954,".",617,51100
"2811","Mercedes-Benz",0.954,".",617,107100
"2812","Mercedes-Benz",0.954,".",617,52500
"2813","Mercedes-Benz",0.954,".",617,53600
"2814","Mercedes-Benz",0.954,".",617,108840
"2815","Mercedes-Benz",0.954,".",617,101690
"2816","Mercedes-Benz",0.954,".",617,65650
"2817","Mercedes-Benz",0.954,".",617,52000
"2818","Mercedes-Benz",0.954,".",617,54500
"2819","Mercedes-Benz",0.954,".",617,37090
"2820","Mercedes-Benz",0.954,".",617,39090
"2821","Mercedes-Benz",0.954,".",617,38590
"2822","Mercedes-Benz",0.954,".",617,38980
"2823","Mercedes-Benz",0.954,".",617,39480
"2824","Mercedes-Benz",0.954,".",617,37480
"2825","Mercedes-Benz",0.954,".",617,37900
"2826","Mercedes-Benz",0.954,".",617,39900
"2827","Mercedes-Benz",0.954,".",617,39400
"2828","Mercedes-Benz",0.954,".",617,124100
"2829","Mercedes-Benz",0.954,".",617,93850
"2830","Mercedes-Benz",0.954,".",617,68700
"2831","Mercedes-Benz",0.954,".",617,51270
"2832","Mercedes-Benz",0.954,".",617,96100
"2833","Mercedes-Benz",0.954,".",617,58800
"2834","Mercedes-Benz",0.954,".",617,49770
"2835","Mercedes-Benz",0.954,".",617,47270
"2836","Mercedes-Benz",0.954,".",617,97250
"2837","Mercedes-Benz",0.954,".",617,51790
"2838","Mercedes-Benz",0.954,".",617,50290
"2839","Mercedes-Benz",0.954,".",617,59450
"2840","Mercedes-Benz",0.954,".",617,47790
"2841","Mercedes-Benz",0.954,".",617,62900
"2842","Mercedes-Benz",0.954,".",617,48300
"2843","Mercedes-Benz",0.954,".",617,49800
"2844","Mercedes-Benz",0.954,".",617,98400
"2845","Mercedes-Benz",0.954,".",617,50800
"2846","Mercedes-Benz",0.954,".",617,189350
"2847","Mercedes-Benz",0.954,".",617,191300
"2848","Mercedes-Benz",0.954,".",617,32500
"2849","Mercedes-Benz",0.954,".",617,28950
"2850","Mercedes-Benz",0.954,".",617,5650
"2851","Mercedes-Benz",0.954,".",617,49300
"2852","Mercedes-Benz",0.954,".",617,50800
"2853","Mercedes-Benz",0.954,".",617,50240
"2854","Mercedes-Benz",0.954,".",617,51740
"2855","Mercedes-Benz",0.954,".",617,52690
"2856","Mercedes-Benz",0.954,".",617,53840
"2857","Mercedes-Benz",0.954,".",617,94400
"2858","Mercedes-Benz",0.954,".",617,141450
"2859","Mercedes-Benz",0.954,".",617,97400
"2860","Mercedes-Benz",0.954,".",617,160900
"2861","Mercedes-Benz",0.954,".",617,222000
"2862","Mercedes-Benz",0.954,".",617,230900
"2863","Mercedes-Benz",0.954,".",617,166900
"2864","Mercedes-Benz",0.954,".",617,119900
"2865","Mercedes-Benz",0.954,".",617,234050
"2866","Mercedes-Benz",0.954,".",617,121550
"2867","Mercedes-Benz",0.954,".",617,143250
"2868","Mercedes-Benz",0.954,".",617,95650
"2869","Mercedes-Benz",0.954,".",617,169050
"2870","Mercedes-Benz",0.954,".",617,98650
"2871","Mercedes-Benz",0.954,".",617,163150
"2872","Mercedes-Benz",0.954,".",617,224650
"2873","Mercedes-Benz",0.954,".",617,144700
"2874","Mercedes-Benz",0.954,".",617,99600
"2875","Mercedes-Benz",0.954,".",617,131400
"2876","Mercedes-Benz",0.954,".",617,170750
"2877","Mercedes-Benz",0.954,".",617,176400
"2878","Mercedes-Benz",0.954,".",617,226900
"2879","Mercedes-Benz",0.954,".",617,247900
"2880","Mercedes-Benz",0.954,".",617,96600
"2881","Mercedes-Benz",0.954,".",617,84000
"2882","Mercedes-Benz",0.954,".",617,106700
"2883","Mercedes-Benz",0.954,".",617,214500
"2884","Mercedes-Benz",0.954,".",617,147300
"2885","Mercedes-Benz",0.954,".",617,108050
"2886","Mercedes-Benz",0.954,".",617,85050
"2887","Mercedes-Benz",0.954,".",617,217550
"2888","Mercedes-Benz",0.954,".",617,149700
"2889","Mercedes-Benz",0.954,".",617,110800
"2890","Mercedes-Benz",0.954,".",617,151350
"2891","Mercedes-Benz",0.954,".",617,219850
"2892","Mercedes-Benz",0.954,".",617,86950
"2893","Mercedes-Benz",0.954,".",617,60300
"2894","Mercedes-Benz",0.954,".",617,47950
"2895","Mercedes-Benz",0.954,".",617,56225
"2896","Mercedes-Benz",0.954,".",617,68925
"2897","Mercedes-Benz",0.954,".",617,43525
"2898","Mercedes-Benz",0.954,".",617,43950
"2899","Mercedes-Benz",0.954,".",617,57650
"2900","Mercedes-Benz",0.954,".",617,70850
"2901","Mercedes-Benz",0.954,".",617,59200
"2902","Mercedes-Benz",0.954,".",617,47000
"2903","Mercedes-Benz",0.954,".",617,72600
"2904","Mercedes-Benz",0.954,".",617,480000
"2905","Mercedes-Benz",0.954,".",617,495000
"2906","Mercedes-Benz",0.954,".",617,495000
"2907","Mercedes-Benz",0.954,".",617,221580
"2908","Mercedes-Benz",0.954,".",617,228080
"2909","Mercedes-Benz",0.954,".",617,199500
"2910","Mercedes-Benz",0.954,".",617,206000
"2911","Mercedes-Benz",0.954,".",617,275000
"2912","Mercedes-Benz",0.954,".",617,201500
"2913","Mercedes-Benz",0.954,".",617,208000
"2914","Mercedes-Benz",0.954,".",617,183000
"2915","Mercedes-Benz",0.954,".",617,189600
"2916","Mercedes-Benz",0.954,".",617,196100
"2917","Mercedes-Benz",28.976,".",617,2000
"2918","Mercedes-Benz",28.976,".",617,2000
"2919","Mercedes-Benz",28.976,".",617,2000
"2920","Mercedes-Benz",28.976,".",617,2000
"2921","Mercedes-Benz",28.976,".",617,2000
"2922","Mercedes-Benz",28.976,".",617,2000
"2923","Mercedes-Benz",28.976,".",617,2232
"2924","Mercedes-Benz",28.976,".",617,2000
"2925","Mercedes-Benz",28.976,".",617,2000
"2926","Mercedes-Benz",28.976,".",617,2105
"2927","Mercedes-Benz",28.976,".",617,2199
"2928","Mercedes-Benz",28.976,".",617,2000
"2929","Mercedes-Benz",28.976,".",617,2124
"2930","Mercedes-Benz",28.976,".",617,3552
"2931","Mercedes-Benz",28.976,".",617,2179
"2932","Mercedes-Benz",28.976,".",617,2000
"2933","Mercedes-Benz",28.976,".",617,2000
"2934","Mercedes-Benz",28.976,".",617,2377
"2935","Mercedes-Benz",28.976,".",617,3814
"2936","Mercedes-Benz",28.976,".",617,2207
"2937","Mercedes-Benz",28.976,".",617,2000
"2938","Mercedes-Benz",28.976,".",617,2248
"2939","Mercedes-Benz",28.976,".",617,2065
"2940","Mercedes-Benz",28.976,".",617,2547
"2941","Mercedes-Benz",28.976,".",617,2282
"2942","Mercedes-Benz",28.976,".",617,2000
"2943","Mercedes-Benz",28.976,".",617,2544
"2944","Mercedes-Benz",28.976,".",617,2397
"2945","Mercedes-Benz",28.976,".",617,2000
"2946","Mercedes-Benz",28.976,".",617,4174
"2947","Mercedes-Benz",28.976,".",617,2187
"2948","Mercedes-Benz",28.976,".",617,2729
"2949","Mercedes-Benz",28.976,".",617,2433
"2950","Mercedes-Benz",28.976,".",617,2247
"2951","Mercedes-Benz",28.976,".",617,2540
"2952","Mercedes-Benz",28.976,".",617,2144
"2953","Mercedes-Benz",28.976,".",617,2098
"2954","Mercedes-Benz",28.976,".",617,2178
"2955","Mercedes-Benz",28.976,".",617,2311
"2956","Mercedes-Benz",28.976,".",617,2168
"2957","Mercedes-Benz",28.976,".",617,2497
"2958","Mercedes-Benz",28.976,".",617,2278
"2959","Mercedes-Benz",28.976,".",617,2650
"2960","Mercedes-Benz",28.976,".",617,2000
"2961","Mercedes-Benz",28.976,".",617,2186
"2962","Mercedes-Benz",28.976,".",617,4155
"2963","Mercedes-Benz",28.976,".",617,2427
"2964","Mercedes-Benz",28.976,".",617,3245
"2965","Mercedes-Benz",28.976,".",617,4701
"2966","Mercedes-Benz",28.976,".",617,3176
"2967","Mercedes-Benz",28.976,".",617,3613
"2968","Mercedes-Benz",28.976,".",617,5140
"2969","Mercedes-Benz",28.976,".",617,2692
"2970","Mercedes-Benz",28.976,".",617,2323
"2971","Mercedes-Benz",28.976,".",617,2170
"2972","Mercedes-Benz",28.976,".",617,2443
"2973","Mercedes-Benz",28.976,".",617,2304
"2974","Mercedes-Benz",28.976,".",617,2960
"2975","Mercedes-Benz",28.976,".",617,3108
"2976","Mercedes-Benz",28.976,".",617,4623
"2977","Mercedes-Benz",28.976,".",617,3211
"2978","Mercedes-Benz",28.976,".",617,129900
"2979","Mercedes-Benz",28.976,".",617,131200
"2980","Mercedes-Benz",28.976,".",617,111200
"2981","Mercedes-Benz",28.976,".",617,41450
"2982","Mercedes-Benz",28.976,".",617,41450
"2983","Mercedes-Benz",28.976,".",617,39900
"2984","Mercedes-Benz",28.976,".",617,40400
"2985","Mercedes-Benz",28.976,".",617,46050
"2986","Mercedes-Benz",28.976,".",617,42575
"2987","Mercedes-Benz",28.976,".",617,62950
"2988","Mercedes-Benz",28.976,".",617,38400
"2989","Mercedes-Benz",28.976,".",617,44050
"2990","Mercedes-Benz",28.976,".",617,41050
"2991","Mercedes-Benz",28.976,".",617,48590
"2992","Mercedes-Benz",28.976,".",617,39050
"2993","Mercedes-Benz",28.976,".",617,71900
"2994","Mercedes-Benz",28.976,".",617,40575
"2995","Mercedes-Benz",28.976,".",617,63900
"2996","Mercedes-Benz",28.976,".",617,39400
"2997","Mercedes-Benz",28.976,".",617,43125
"2998","Mercedes-Benz",28.976,".",617,50800
"2999","Mercedes-Benz",28.976,".",617,41125
"3000","Mercedes-Benz",28.976,".",617,41275
"3001","Mercedes-Benz",28.976,".",617,73250
"3002","Mercedes-Benz",28.976,".",617,65250
"3003","Mercedes-Benz",28.976,".",617,38950
"3004","Mercedes-Benz",28.976,".",617,39275
"3005","Mercedes-Benz",28.976,".",617,40950
"3006","Mercedes-Benz",28.976,".",617,39850
"3007","Mercedes-Benz",28.976,".",617,39500
"3008","Mercedes-Benz",28.976,".",617,52000
"3009","Mercedes-Benz",28.976,".",617,72800
"3010","Mercedes-Benz",28.976,".",617,67000
"3011","Mercedes-Benz",28.976,".",617,41675
"3012","Mercedes-Benz",28.976,".",617,44650
"3013","Mercedes-Benz",28.976,".",617,42650
